timestamp,email,login_time,session_active,user_cpu,user_mem,user_disk,emails_sent
2025-08-13 12:21:22,alice@test.com,2025-08-13 11:43:22,True,11.02,16.72,59.87,3
2025-08-13 12:21:22,bob@test.com,,False,0.0,0.0,0.0,0
2025-08-13 12:21:22,hanilee@test.com,2025-08-13 12:15:22,True,26.62,29.18,78.18,4
2025-08-13 12:21:22,tim@test.com,2025-08-13 11:33:22,True,34.52,10.57,36.05,1
2025-08-13 12:21:22,fran@test.com,,False,0.0,0.0,0.0,0
2025-08-13 12:21:22,delen@test.com,,False,0.0,0.0,0.0,0
2025-08-13 12:21:22,sera@test.com,2025-08-13 11:21:22,True,43.67,16.83,23.32,1
2025-08-13 12:21:22,jack@test.com,,False,0.0,0.0,0.0,0
2025-08-13 12:21:24,alice@test.com,2025-08-13 11:43:22,True,9.76,15.28,61.94,1
2025-08-13 12:21:24,bob@test.com,2025-08-13 12:19:24,True,54.92,45.72,72.47,6
2025-08-13 12:21:24,hanilee@test.com,2025-08-13 12:15:22,True,20.92,33.06,76.37,2
2025-08-13 12:21:24,tim@test.com,2025-08-13 11:33:22,True,32.49,10.99,38.49,0
2025-08-13 12:21:24,fran@test.com,,False,0.0,0.0,0.0,0
2025-08-13 12:21:24,delen@test.com,2025-08-13 10:51:24,True,53.86,12.59,49.4,3
2025-08-13 12:21:24,sera@test.com,2025-08-13 11:21:22,True,45.98,17.26,24.56,1
2025-08-13 12:21:24,jack@test.com,2025-08-13 10:48:24,True,23.54,17.43,11.26,0
2025-08-13 12:21:26,alice@test.com,2025-08-13 11:43:22,True,7.28,22.87,64.89,3
2025-08-13 12:21:26,bob@test.com,2025-08-13 12:19:24,True,61.25,49.26,70.09,6
2025-08-13 12:21:26,hanilee@test.com,2025-08-13 12:15:22,True,25.48,33.06,77.18,4
2025-08-13 12:21:26,tim@test.com,2025-08-13 11:33:22,True,34.98,16.34,39.16,1
2025-08-13 12:21:26,fran@test.com,2025-08-13 12:13:26,True,46.76,11.91,54.44,2
2025-08-13 12:21:26,delen@test.com,2025-08-13 10:51:24,True,53.06,15.34,46.52,2
2025-08-13 12:21:26,sera@test.com,2025-08-13 11:21:22,True,47.51,18.31,24.89,0
2025-08-13 12:21:26,jack@test.com,2025-08-13 10:48:24,True,18.65,17.1,8.93,0
2025-08-13 12:21:28,alice@test.com,2025-08-13 11:43:22,True,3.17,21.48,64.96,2
2025-08-13 12:21:28,bob@test.com,2025-08-13 12:19:24,True,62.83,41.51,69.52,5
2025-08-13 12:21:28,hanilee@test.com,2025-08-13 12:15:22,True,20.54,30.72,76.34,3
2025-08-13 12:21:28,tim@test.com,2025-08-13 11:33:22,True,34.88,15.45,39.04,0
2025-08-13 12:21:28,fran@test.com,2025-08-13 12:13:26,True,39.74,14.38,48.65,4
2025-08-13 12:21:28,delen@test.com,2025-08-13 10:51:24,True,48.8,6.81,49.85,3
2025-08-13 12:21:28,sera@test.com,2025-08-13 11:21:22,True,50.45,15.86,25.87,0
2025-08-13 12:21:28,jack@test.com,2025-08-13 10:48:24,True,23.01,19.04,11.02,2
2025-08-13 12:21:30,alice@test.com,2025-08-13 11:43:22,True,12.42,18.37,64.85,1
